_RAJ2000,_DEJ2000,ID,Nsp,Type,z,f_z,OName,RAJ2000,DEJ2000,RAH,DEH,AOffset,e_AOffset,POffset,e_POffset,E(B-V),E(B-V)h,FUVMag,BMag,KsMag,logSFR,logM,logsSFR,Age,Np,Simbad,recno
00 39 27.891600,+06 21 46.97030,iPTF14hac,1,SNII,0.058,MATCHING,,00 39 27.8916,+06 21 46.9703,00 39 27.9015,+07 07 54.94,0.158,0.09,0.183,0.104,0.02,0.86,-9.24,-14.07,-17.43,-0.23,7.96,-8.15,0.33,4,Simbad,675
09 20 34.302200,+50 41 46.82290,iPTF14hls,1,SNII,0.0343,GAL.LINES,2016bse,09 20 34.3022,+50 41 46.8229,09 20 34.4757,+51 30 02.69,2.767,0.142,1.953,0.1,0.01,0.16,-14.79,-16.54,-17.12,-1.14,8.57,-9.69,7.38,13,Simbad,676
05 20 20.111600,+04 04 56.12300,iPTF14hqg,1,SNII,0.056152,NED,,05 20 20.1116,+04 04 56.1230,05 20 20.5915,+04 58 18.69,7.406,0.181,8.337,0.204,0.1,0.18,-18.11,-20.75,-21.69,0.24,10.42,-10.21,4.52,15,Simbad,677
10 27 47.456800,+17 41 58.55890,iPTF14hvw,1,SNII,0.10691,SDSS,,10 27 47.4568,+17 41 58.5589,10 27 47.2304,+18 36 17.56,4.597,0.223,9.286,0.45,0.02,0.22,-19.22,-21.45,-22.44,0.89,10.59,-9.7,3.98,17,Simbad,678
09 36 41.253200,+52 14 10.69120,iPTF14igl,1,SNIb,0.03915,SDSS,,09 36 41.2532,+52 14 10.6912,09 36 41.2568,+52 27 46.19,3.079,0.124,2.466,0.099,0.01,0.35,-16.42,-19.64,-21.58,0.34,10.32,-9.98,5.71,13,Simbad,679
22 41 01.369800,-08 07 47.97340,iPTF14igm,1,SNII,0.032192,NED,,22 41 01.3698,-08 07 47.9734,22 41 01.6528,-08 48 56.51,7.351,0.216,4.882,0.143,0.03,0.17,-17.72,-20.8,-22.53,0.14,10.8,-10.66,7.73,17,Simbad,680
03 39 43.862600,+15 47 43.33990,iPTF14ih,1,SNII,0.02929,NED,,03 39 43.8626,+15 47 43.3399,03 39 44.6047,+15 52 02.53,23.309,0.13,14.134,0.079,0.22,0.09,-18.05,-20.74,-22.34,,10.7,-10.7,7.65,17,Simbad,681
01 14 26.734000,+42 33 19.11420,iPTF14ikn,1,SNIIb,0.019724,NED,,01 14 26.7340,+42 33 19.1142,01 14 26.2468,+42 55 56.09,6.601,0.138,2.727,0.057,0.08,0.18,-18.02,-20.43,-21.73,0.3,10.36,-10.07,6.15,17,Simbad,682
23 04 53.542533,+16 40 41.66720,iPTF14jfc,1,SNII,0.028276,NED,,23 04 53.5425,+16 40 41.6672,23 04 53.5060,+17 22 18.42,0.827,0.222,0.485,0.13,0.1,0.06,-19.43,-21.18,-21.84,0.36,10.45,-10.09,7.49,13,Simbad,683
08 03 08.428933,+23 23 33.78520,iPTF14jfy,1,SNII,0.015684,NED,,08 03 08.4289,+23 23 33.7852,08 03 07.8296,+23 53 28.41,8.891,0.11,2.935,0.036,0.04,0.28,-17.82,-20.74,-22.43,0.63,10.68,-10.06,6.34,15,Simbad,684
08 11 16.503333,+25 10 47.24180,iPTF14jgt,1,SNIIb,0.01371,SDSS,2014ds,08 11 16.5033,+25 10 47.2418,08 11 15.9411,+25 56 04.36,7.722,0.234,2.234,0.068,0.04,0.17,-17.46,-19.54,-20.39,-0.01,9.79,-9.81,4.67,12,Simbad,685
12 04 51.466200,+26 59 46.79770,iPTF14jku,1,SNIb,0.00189,NED,,12 04 51.4662,+26 59 46.7977,12 04 51.8266,+27 32 16.18,14.36,0.395,0.581,0.016,0.02,0.18,-13.44,-15.87,-16.78,-1.65,8.45,-10.11,4.89,17,Simbad,686
14 16 27.625400,+10 24 07.89660,iPTF14oe,1,SNII,0.059,MATCHING,,14 16 27.6254,+10 24 07.8966,14 16 27.7543,+10 25 06.81,7.045,0.179,8.305,0.211,0.02,0.21,-15.78,-18.64,-19.81,-0.59,9.56,-10.18,3.11,17,Simbad,687
10 21 38.244933,+52 14 23.60830,iPTF14tb,1,SLSN-I,0.942,GAL.LINES,,10 21 38.2449,+52 14 23.6083,,,,,,,0.01,1.11,-9.16,-15.29,-19.42,0.61,8.6,-7.9,0.18,7,Simbad,688
16 24 42.565000,+07 10 55.46890,iPTF14to,1,SNII,0.02562,SDSS,,16 24 42.5650,+07 10 55.4689,16 24 42.3171,+08 08 09.27,4.564,0.076,2.432,0.04,0.06,0.28,-17.08,-19.88,-21.49,0.35,10.3,-9.96,6.54,15,Simbad,689
12 18 48.718133,+14 24 43.96250,iPTF14ur,1,SNIc,0.007874,SDSS,2014L,12 18 48.7181,+14 24 43.9625,12 18 49.5512,+14 25 04.69,20.155,0.438,3.372,0.073,0.03,0.34,-20.07,-22.36,-23.58,1.82,10.89,-9.05,2.84,15,Simbad,690
10 40 24.997800,+53 57 58.64040,iPTF14us,1,SNII,0.05,MATCHING,2014S,10 40 24.9978,+53 57 58.6404,10 40 25.7356,+54 50 15.79,8.444,0.159,8.526,0.161,0.01,0.34,-15.37,-18.22,-19.68,-0.18,9.64,-9.78,6.49,12,Simbad,691
10 43 25.218133,+24 52 02.25260,iPTF14uw,1,SNII,0.05501,NED,,10 43 25.2181,+24 52 02.2526,10 43 25.2363,+24 53 46.82,0.533,0.211,0.589,0.233,0.03,0.24,-15.78,-19.49,-21.14,-0.47,10.31,-10.81,7.48,17,Simbad,692
12 21 57.908333,+02 20 42.34450,iPTF14va,1,SNIbc,0.00611,SDSS,,12 21 57.9083,+02 20 42.3445,12 21 57.7825,+03 02 31.25,1.893,0.343,0.246,0.045,0.02,0.44,-13.46,-16.78,-18.23,-0.69,8.86,-9.58,1.01,14,Simbad,693
11 42 05.731800,+11 32 13.72850,iPTF14vh,1,SNII,0.04287,SDSS,,11 42 05.7318,+11 32 13.7285,11 42 06.6436,+11 48 09.70,13.62,0.15,11.893,0.131,0.03,0.19,-18.15,-20.77,-21.8,0.26,10.34,-10.12,3.16,14,Simbad,694
10 49 30.244533,+32 12 45.18720,iPTF14vs,1,SNII,0.0443,GAL.LINES,,10 49 30.2445,+32 12 45.1872,10 49 30.1974,+32 56 57.32,0.641,0.169,0.577,0.152,0.02,0.3,-15.21,-17.35,-18.21,-0.41,8.89,-9.28,3.09,12,Simbad,695
11 50 41.406933,+10 57 08.63530,iPTF14we,1,SNII,0.05172,SDSS,,11 50 41.4069,+10 57 08.6353,11 50 40.9041,+11 10 28.51,8.847,0.211,9.222,0.22,0.03,0.25,-16.97,-19.14,-20.42,0.25,9.65,-9.41,3.99,10,Simbad,696
14 04 27.264800,+48 55 55.69140,iPTF14x,1,SNII,0.0478,GAL.LINES,,14 04 27.2648,+48 55 55.6914,14 04 27.1042,+49 51 55.75,2.009,0.171,1.944,0.166,0.01,0.15,-15.7,-17.38,-18.07,-0.72,8.8,-9.52,5.84,12,Simbad,697
17 46 40.439400,+58 38 11.39140,iPTF14ym,1,SNIc,0.031398,NED,,17 46 40.4394,+58 38 11.3914,17 46 39.9584,+58 43 14.29,7.208,0.134,4.674,0.087,0.04,0.24,-17.21,-20.48,-22.05,0.16,10.6,-10.48,6.15,13,Simbad,698
11 44 52.165800,+19 27 16.95850,iPTF14yx,1,SNII,0.01824,SDSS,2014U,11 44 52.1658,+19 27 16.9585,11 44 52.2272,+19 42 03.18,2.094,0.157,0.801,0.06,0.02,0.31,-16.91,-20.01,-21.53,0.29,10.21,-9.94,2.67,17,Simbad,699
14 53 56.318200,+59 02 51.32980,iPTF15acp,1,SNIc,0.1386,GAL.LINES,,14 53 56.3182,+59 02 51.3298,14 53 56.2966,+59 52 58.94,0.385,0.171,0.972,0.432,0.01,0.29,-13.63,-15.5,-16.26,-0.85,7.51,-8.32,0.48,7,Simbad,700
13 32 29.660267,+46 26 04.02940,iPTF15acr,1,SNIIb,0.061,GAL.LINES,,13 32 29.6603,+46 26 04.0294,13 32 29.6745,+46 29 22.69,0.668,0.21,0.812,0.255,0.01,0.06,-14.63,-15.75,-15.97,-1.47,7.88,-9.32,4.13,9,Simbad,701
11 27 28.145733,+38 26 25.83200,iPTF15adv,1,SNIb,0.04506,SDSS,,11 27 28.1457,+38 26 25.8320,11 27 28.1503,+38 52 22.04,0.538,0.245,0.492,0.224,0.02,0.2,-17.45,-19.94,-21.2,0.14,10.26,-10.13,8.06,17,Simbad,702
22 37 05.608533,+34 24 31.71700,iPTF15afv,1,SNIb,0.002722,NED,2014C,22 37 05.6085,+34 24 31.7170,22 37 04.1952,+35 21 12.61,30.918,0.3,1.8,0.017,0.08,0.33,-17.26,-20.32,-22.55,0.73,10.65,-9.92,6.43,15,Simbad,703
09 02 37.852733,+25 56 04.04630,iPTF15afw,1,SNIIb,0.008172,NED,2015Y,09 02 37.8527,+25 56 04.0463,09 02 38.6772,+26 00 49.15,11.15,0.174,1.936,0.03,0.03,0.28,-15.24,-18.83,-21.02,-0.35,10.15,-10.52,6.32,17,Simbad,704
12 51 00.223933,+47 40 13.10840,iPTF15agj,1,SNII,0.02953,SDSS,,12 51 00.2239,+47 40 13.1084,12 50 59.5162,+47 57 40.87,8.486,0.248,5.187,0.152,0.01,0.31,-18.84,-21.64,-23.09,1.08,11.0,-9.9,6.77,15,Simbad,705
14 56 20.363600,+45 16 31.23010,iPTF15agp,1,SNII,0.03054,SDSS,,14 56 20.3636,+45 16 31.2301,14 56 20.6118,+45 43 15.30,4.761,0.14,3.006,0.088,0.02,0.24,-17.19,-19.77,-21.0,0.14,10.28,-10.14,10.29,17,Simbad,706
16 01 41.158733,+40 50 15.49030,iPTF15agq,1,SNII,0.073,MATCHING,,16 01 41.1587,+40 50 15.4903,16 01 40.9017,+41 05 33.37,2.917,0.341,4.185,0.489,0.01,0.09,-17.38,-19.24,-20.0,-0.36,9.69,-10.07,6.31,16,Simbad,707
11 10 24.222000,+27 35 48.73420,iPTF15ags,1,SNII,0.04429,SDSS,,11 10 24.2220,+27 35 48.7342,11 10 24.2005,+28 24 32.20,0.852,0.226,0.767,0.204,0.02,0.12,-17.37,-19.0,-19.55,-0.28,9.52,-9.8,7.59,14,Simbad,708
12 56 13.424000,+48 35 45.40450,iPTF15aiw,1,SNIb,0.0663,GAL.LINES,,12 56 13.4240,+48 35 45.4045,12 56 13.4862,+49 19 57.85,0.758,0.168,0.996,0.221,0.01,0.09,-16.9,-18.61,-19.05,-0.59,9.33,-9.92,5.55,13,Simbad,709
03 29 14.315800,+14 50 52.75750,iPTF15ak,1,SNIIn,0.11,MATCHING,,03 29 14.3158,+14 50 52.7575,03 29 14.2306,+15 41 46.33,1.58,0.278,3.272,0.576,0.26,0.62,-10.49,-14.09,-16.25,-0.58,7.4,-7.86,0.17,3,Simbad,710
15 03 51.297600,+33 33 18.26820,iPTF15akq,1,SNIbn,0.1093,GAL.LINES,,15 03 51.2976,+33 33 18.2682,15 03 51.8341,+33 50 13.17,6.788,0.232,13.98,0.478,0.01,0.12,-19.0,-20.3,-20.91,0.62,9.56,-8.93,2.03,15,Simbad,711
13 01 13.462133,+51 20 08.88180,iPTF15alq,1,SNII,0.033119,NED,,13 01 13.4621,+51 20 08.8818,13 01 12.9536,+51 21 17.36,8.964,0.173,6.118,0.118,0.0,0.19,-16.83,-19.01,-19.94,-0.19,9.73,-9.93,6.99,17,Simbad,712
13 19 50.494533,+52 03 40.41650,iPTF15asq,1,SNII,0.01557,SDSS,,13 19 50.4945,+52 03 40.4165,13 19 49.9494,+52 43 57.26,5.056,0.225,1.657,0.074,0.01,0.13,-17.08,-18.8,-18.86,-0.5,9.05,-9.57,0.94,12,Simbad,713
14 50 30.031333,+50 31 46.67450,iPTF15axu,1,SNII,0.062,MATCHING,,14 50 30.0313,+50 31 46.6745,14 50 30.1226,+51 16 54.72,1.158,0.25,1.429,0.309,0.02,0.22,-14.64,-16.36,-17.4,-0.74,8.16,-8.9,1.72,13,Simbad,714
14 12 13.352333,+08 39 36.10190,iPTF15axz,1,SNII,0.02409,SDSS,,14 12 13.3523,+08 39 36.1019,14 12 12.7260,+09 21 35.82,11.333,0.207,5.688,0.104,0.02,0.13,-18.06,-20.66,-22.04,0.14,10.56,-10.43,7.02,17,Simbad,715
13 26 26.635733,+55 23 43.12640,iPTF15aym,1,SNIIn,0.03346,SDSS,,13 26 26.6357,+55 23 43.1264,13 26 26.3628,+56 07 04.67,2.511,0.234,1.731,0.161,0.01,0.18,-16.76,-19.05,-19.82,-0.31,9.62,-9.96,3.77,15,Simbad,716
15 02 35.877133,+45 30 05.13720,iPTF15ayo,1,SNII,0.0649,SDSS,,15 02 35.8771,+45 30 05.1372,15 02 36.0914,+45 36 54.16,2.862,0.336,3.685,0.433,0.02,0.16,-17.39,-19.3,-20.11,-0.05,9.73,-9.78,6.6,14,Simbad,717
14 56 27.818333,+18 22 24.13700,iPTF15ayt,1,SNII,0.0457,SDSS,,14 56 27.8183,+18 22 24.1370,14 56 27.9189,+18 47 41.75,2.117,0.22,1.964,0.204,0.02,0.28,-15.7,-19.36,-21.12,-0.28,10.29,-10.59,6.88,15,Simbad,718
14 08 56.956800,+53 17 05.91040,iPTF15ban,1,SNII,0.0436,SDSS,,14 08 56.9568,+53 17 05.9104,14 08 57.6149,+53 22 55.57,5.901,0.172,5.236,0.153,0.01,0.08,-19.68,-20.91,-21.4,0.65,9.93,-9.28,4.22,12,Simbad,719
15 38 29.865000,+27 17 55.99140,iPTF15bcm,1,SNII,0.03228,SDSS,,15 38 29.8650,+27 17 55.9914,15 38 29.5585,+28 10 09.99,4.967,0.146,3.307,0.097,0.03,0.05,-15.87,-17.7,-18.36,-1.09,8.98,-10.09,4.87,15,Simbad,720
00 03 07.145200,-01 54 42.50380,iPTF16eob,1,SNII,0.024253,NED,2016eob,00 03 07.1452,-01 54 42.5038,00 03 05.6364,-02 43 19.03,23.623,0.127,11.934,0.064,0.03,0.34,-18.42,-21.35,-23.05,1.1,10.9,-9.8,6.02,13,Simbad,817
16 09 29.467333,+26 53 55.39920,iPTF15beu,1,SLSN-I,0.2605,GAL.LINES,,16 09 29.4673,+26 53 55.3992,16 09 29.4375,+27 47 37.21,0.875,0.187,3.637,0.777,0.06,0.32,-15.93,-18.03,-19.13,0.16,8.91,-8.72,1.16,5,Simbad,721
15 04 40.800800,+12 37 43.25560,iPTF15bky,1,SNIIn,0.02887,SDSS,2015Z,15 04 40.8008,+12 37 43.2556,15 04 40.5792,+12 38 34.70,17.624,0.11,10.539,0.066,0.03,0.27,-18.8,-21.46,-22.94,0.97,10.83,-9.86,5.49,17,Simbad,722
16 27 15.183600,+41 08 57.77230,iPTF15blp,1,SNIIn,0.1949,GAL.LINES,,16 27 15.1836,+41 08 57.7723,16 27 15.1301,+42 06 25.26,0.887,0.1,2.96,0.334,0.01,0.14,-16.77,-17.78,-17.88,-0.21,8.12,-8.3,0.47,7,Simbad,723
15 55 43.790933,+34 05 57.68450,iPTF15btp,1,SNII,0.047,MATCHING,,15 55 43.7909,+34 05 57.6845,15 55 43.3319,+35 01 55.08,5.753,0.225,5.48,0.214,0.02,0.15,-16.02,-17.83,-18.38,-0.71,9.08,-9.77,6.32,14,Simbad,724
21 59 01.663333,+23 50 28.50680,iPTF15bxa,1,SNII,0.0992,GAL.LINES,,21 59 01.6633,+23 50 28.5068,21 59 01.9291,+24 17 10.49,3.882,0.126,7.341,0.238,0.06,0.12,-16.17,-19.25,-20.06,-0.82,9.64,-10.44,2.48,14,Simbad,725
22 00 45.648333,+24 36 51.64060,iPTF15bxb,1,SLSN-I,0.1806,GAL.LINES,,22 00 45.6483,+24 36 51.6406,22 00 45.6925,+25 28 03.66,0.735,0.209,2.309,0.656,0.06,0.07,-16.27,-16.44,-15.7,-0.71,7.21,-7.88,0.17,2,Simbad,726
16 58 29.319400,+26 31 19.06250,iPTF15bxe,1,SNII,0.0366,GAL.LINES,,16 58 29.3194,+26 31 19.0625,16 58 29.1256,+26 55 41.29,6.198,0.435,4.655,0.327,0.03,0.03,-16.58,-17.96,-18.25,-0.89,8.9,-9.81,4.78,14,Simbad,727
23 53 00.910333,+04 50 46.68860,iPTF15bze,1,SNIIn,0.0322,GAL.LINES,,23 53 00.9103,+04 50 46.6886,23 53 01.1655,+05 39 53.34,4.979,0.129,3.308,0.086,0.05,0.09,-16.18,-17.97,-18.45,-0.89,9.03,-9.95,4.42,12,Simbad,728
19 59 08.038000,-07 56 31.80480,iPTF15cam,1,SNIIb,0.028436,NED,,19 59 08.0380,-07 56 31.8048,19 59 07.9993,-08 25 17.44,2.579,0.091,1.52,0.054,0.13,0.37,-16.79,-19.62,-21.21,0.53,10.16,-9.63,6.08,10,Simbad,729
23 25 07.969933,+29 00 22.33510,iPTF15cdy,1,SNII,0.0434,GAL.LINES,,23 25 07.9699,+29 00 22.3351,23 25 08.0381,+29 22 11.62,0.906,0.115,0.8,0.102,0.09,0.08,-16.25,-18.09,-18.75,-0.87,9.25,-10.12,7.63,16,Simbad,730
21 27 50.193867,+20 49 37.61510,iPTF15cfw,1,SNII,0.0799,GAL.LINES,,21 27 50.1939,+20 49 37.6151,21 27 50.1399,+21 27 13.41,0.972,0.128,1.514,0.199,0.09,0.19,-16.4,-18.94,-20.08,-0.31,9.54,-9.92,2.29,10,Simbad,731
23 20 10.945067,+28 50 57.94010,iPTF15cna,1,SNIIb,0.0597,GAL.LINES,,23 20 10.9451,+28 50 57.9401,23 20 10.9454,+29 48 18.78,0.373,0.052,0.445,0.062,0.11,0.32,-11.48,-13.89,-15.24,-1.59,7.41,-8.99,1.81,9,Simbad,732
22 08 16.663800,+24 29 29.56700,iPTF15cno,1,SNII,0.075,GAL.LINES,,22 08 16.6638,+24 29 29.5670,22 08 16.7025,+24 59 03.94,0.727,0.281,1.069,0.413,0.07,0.12,-15.72,-17.2,-17.56,-0.86,8.54,-9.4,3.08,11,Simbad,733
00 13 43.137133,+00 09 42.30540,iPTF15cpq,1,SNIbc,0.0657,GAL.LINES,,00 13 43.1371,+00 09 42.3054,00 13 43.0862,+00 50 51.19,0.887,0.313,1.155,0.408,0.02,0.25,-15.81,-17.73,-18.52,-0.35,9.05,-9.39,6.28,16,Simbad,734
22 24 28.445333,+32 39 32.74450,iPTF15crj,1,SNII,0.0217,GAL.LINES,,22 24 28.4453,+32 39 32.7445,22 24 28.3669,+33 09 53.84,2.095,0.076,0.95,0.034,0.08,0.41,-15.04,-18.25,-20.2,0.03,9.87,-9.84,8.94,15,Simbad,735
07 42 14.838933,+20 36 43.52650,iPTF15cyk,1,SLSN-I,0.5388,GAL.LINES,,07 42 14.8389,+20 36 43.5265,07 42 14.8494,+21 19 27.05,0.167,0.172,1.091,1.124,0.05,0.95,-14.05,-19.73,-23.22,2.25,10.15,-7.64,0.1,1,Simbad,736
07 52 35.725733,+16 45 59.62460,iPTF15cym,1,SNII,0.0569,GAL.LINES,,07 52 35.7257,+16 45 59.6246,07 52 35.8246,+17 44 56.05,1.455,0.267,1.658,0.304,0.03,0.22,-13.94,-15.36,-16.44,-0.9,7.34,-8.23,0.39,14,Simbad,737
08 10 00.848267,+18 42 18.19690,iPTF15cyq,1,SNII,0.06316,SDSS,,08 10 00.8483,+18 42 18.1969,08 10 00.5027,+18 55 20.20,6.909,0.39,8.676,0.49,0.03,0.12,-17.5,-19.44,-20.25,-0.21,9.79,-10.01,6.37,16,Simbad,738
02 05 14.118533,+44 34 54.96100,iPTF15czf,1,SNII,0.038,MATCHING,,02 05 14.1185,+44 34 54.9610,02 05 14.1686,+45 26 47.82,2.229,0.207,1.735,0.161,0.06,0.14,-16.15,-17.62,-18.01,-0.61,8.72,-9.33,4.07,11,Simbad,739
02 46 19.650200,+37 10 57.00430,iPTF15daw,1,SNII,0.050518,NED,,02 46 19.6502,+37 10 57.0043,02 46 19.6192,+38 07 08.08,0.393,0.198,0.401,0.202,0.06,0.14,-15.44,-19.04,-20.53,-0.95,10.0,-10.96,6.34,11,Simbad,740
23 59 52.013333,+32 46 03.64370,iPTF15dda,1,SNII,0.0344,GAL.LINES,,23 59 52.0133,+32 46 03.6437,23 59 51.8655,+32 48 06.93,2.41,0.18,1.706,0.127,0.04,0.21,-17.73,-19.74,-20.56,0.26,9.89,-9.63,5.89,9,Simbad,741
01 58 15.515533,+38 57 22.45250,iPTF15dff,1,SNII,0.077,MATCHING,,01 58 15.5155,+38 57 22.4525,01 58 15.3004,+39 20 17.33,2.644,0.133,3.982,0.2,0.05,0.17,-13.43,-15.3,-15.95,-1.43,7.79,-9.2,1.85,3,Simbad,742
16 10 30.561000,+23 57 25.16580,iPTF15dh,1,SNIc,0.03142,SDSS,,16 10 30.5610,+23 57 25.1658,16 10 30.6097,+24 21 03.01,1.3,0.112,0.843,0.073,0.07,0.31,-14.53,-17.71,-20.07,-0.47,9.77,-10.23,7.99,17,Simbad,743
22 28 22.369000,+28 38 58.69640,iPTF15dhx,1,SNII,0.0921,GAL.LINES,,22 28 22.3690,+28 38 58.6964,22 28 22.4017,+29 36 34.55,0.448,0.225,0.793,0.398,0.06,0.24,-17.07,-19.35,-19.9,-0.01,9.53,-9.54,1.05,14,Simbad,744
03 45 38.187000,+34 11 39.11820,iPTF15dio,1,SNII,0.029,MATCHING,,03 45 38.1870,+34 11 39.1182,03 45 38.8465,+34 55 02.47,9.549,0.059,5.735,0.035,0.44,0.04,-18.53,-19.33,-18.92,-0.15,9.11,-9.28,2.4,9,Simbad,745
03 44 24.053400,+36 16 58.65350,iPTF15dip,1,SNII,0.0177,GAL.LINES,,03 44 24.0534,+36 16 58.6535,03 44 24.0812,+37 14 44.18,0.346,0.124,0.129,0.046,0.42,0.12,-16.19,-17.82,-18.35,-0.71,8.96,-9.68,5.48,15,Simbad,746
00 46 55.036667,+35 32 27.73790,iPTF15dix,1,SNII,0.061,MATCHING,,00 46 55.0367,+35 32 27.7379,00 46 55.2025,+35 47 04.82,12.818,0.156,15.586,0.19,0.05,0.08,-18.5,-20.81,-22.39,0.21,10.72,-10.51,8.94,17,Simbad,747
23 37 17.693400,-03 31 57.13140,iPTF15dkm,1,SNII,0.0261,GAL.LINES,,23 37 17.6934,-03 31 57.1314,23 37 17.5858,-04 29 30.40,2.118,0.199,1.149,0.108,0.03,0.19,-15.11,-17.07,-18.28,-0.73,8.84,-9.57,6.7,15,Simbad,748
00 58 13.269000,-03 39 50.31900,iPTF15dld,1,SNIc-BL,0.0468,GAL.LINES,,00 58 13.2690,-03 39 50.3190,00 58 12.9526,-04 24 50.98,6.513,0.225,6.179,0.213,0.03,0.12,-18.14,-19.65,-20.17,0.09,9.69,-9.61,7.76,17,Simbad,749
01 19 02.895533,+10 00 04.50760,iPTF15dlj,1,SNII,0.011,MATCHING,,01 19 02.8955,+10 00 04.5076,01 19 03.0654,+10 01 52.86,3.633,0.231,0.846,0.054,0.04,0.07,-13.55,-15.39,-16.05,-1.99,8.18,-10.18,7.94,14,Simbad,750
01 09 46.783933,+13 18 28.49000,iPTF15dlk,1,SNII,0.014074,NED,2015ay,01 09 46.7839,+13 18 28.4900,01 09 45.6529,+13 48 46.45,16.667,0.146,4.947,0.043,0.02,0.03,-17.0,-18.52,-19.01,-0.7,9.27,-9.97,6.57,12,Simbad,751
01 24 54.381733,+00 37 07.69980,iPTF15dmk,1,SNII,0.063,MATCHING,,01 24 54.3817,+00 37 07.6998,01 24 54.3157,+00 44 21.06,1.049,0.2,1.314,0.251,0.02,0.12,-11.86,-14.52,-15.28,-2.22,7.66,-9.9,2.42,4,Simbad,752
23 24 13.145067,+35 07 36.96920,iPTF15dof,1,SNII,0.0972,GAL.LINES,,23 24 13.1451,+35 07 36.9692,23 24 13.1420,+35 43 50.90,0.127,0.086,0.236,0.16,0.1,0.2,-16.26,-19.79,-21.0,-0.33,9.99,-10.29,2.44,8,Simbad,753
00 11 35.543867,+03 30 07.68890,iPTF15dpa,1,SNIIb,0.059,MATCHING,,00 11 35.5439,+03 30 07.6889,00 11 35.7889,+03 43 42.79,7.053,0.22,8.314,0.259,0.02,0.22,-17.19,-20.99,-22.52,0.04,10.8,-10.78,5.23,15,Simbad,754
06 45 59.681800,+51 42 51.01880,iPTF15dqb,1,SNIb,0.038677,NED,,06 45 59.6818,+51 42 51.0188,06 46 00.8673,+52 26 07.23,12.999,0.267,10.292,0.211,0.08,0.28,-18.87,-21.12,-22.2,1.0,10.5,-9.51,5.63,12,Simbad,755
00 09 21.677333,-00 04 06.57080,iPTF15dqg,1,SNIc-BL,0.05767,SDSS,,00 09 21.6773,-00 04 06.5708,00 09 21.5449,-00 17 53.55,7.586,0.18,8.755,0.208,0.05,0.09,-18.5,-20.08,-20.53,0.09,9.8,-9.72,4.14,12,Simbad,756
00 07 50.750400,+32 59 41.79440,iPTF15dqi,1,SNII,0.051,MATCHING,,00 07 50.7504,+32 59 41.7944,00 07 50.8050,+33 40 46.93,0.687,0.304,0.707,0.313,0.04,0.2,-18.03,-19.92,-20.81,0.41,9.91,-9.51,7.41,16,Simbad,757
23 47 49.445600,+32 55 13.31180,iPTF15dsr,1,SNII,0.0891,GAL.LINES,,23 47 49.4456,+32 55 13.3118,23 47 49.4913,+33 08 12.83,0.583,0.296,1.002,0.509,0.05,0.06,-15.04,-16.58,-16.79,-1.3,8.21,-9.57,1.79,10,Simbad,758
02 30 20.055067,+37 14 06.38950,iPTF15dtg,1,SNIc,0.0524,GAL.LINES,,02 30 20.0551,+37 14 06.3895,02 30 19.9341,+37 17 27.55,3.267,0.072,3.447,0.076,0.06,0.02,-15.81,-17.22,-17.21,-1.34,8.47,-9.85,2.64,9,Simbad,759
09 45 57.713467,+09 58 31.49040,iPTF15dtq,1,SNII,0.01897,SDSS,,09 45 57.7135,+09 58 31.4904,09 45 57.6908,+10 30 20.75,0.919,0.124,0.365,0.049,0.02,0.09,-15.21,-16.77,-17.47,-1.14,8.59,-9.72,7.76,17,Simbad,760
00 25 05.241333,-04 10 08.13940,iPTF15dum,1,SNIbn,0.0697,GAL.LINES,,00 25 05.2413,-04 10 08.1394,00 25 05.3920,-04 14 41.60,4.117,0.173,5.662,0.238,0.03,0.2,-16.24,-18.42,-19.33,-0.37,9.33,-9.73,3.44,14,Simbad,761
00 42 33.422533,-04 39 29.98510,iPTF15dvg,1,SNIb,0.0477,GAL.LINES,,00 42 33.4225,-04 39 29.9851,00 42 33.3985,-05 09 09.37,0.397,0.233,0.383,0.225,0.04,0.22,-13.55,-15.52,-16.27,-1.33,8.06,-9.4,3.04,11,Simbad,762
01 31 59.477333,+33 28 44.97560,iPTF15enr,1,SNII,0.014517,NED,,01 31 59.4773,+33 28 44.9756,01 31 58.0818,+34 02 51.73,20.178,0.116,6.174,0.035,0.05,0.23,-17.34,-20.33,-22.4,0.32,10.69,-10.37,7.1,15,Simbad,763
04 24 05.877400,+28 01 07.82080,iPTF15eoc,1,SNIIb,0.0112,GAL.LINES,,04 24 05.8774,+28 01 07.8208,04 24 05.7486,+28 09 39.34,1.898,0.142,0.45,0.034,1.17,0.01,-16.24,-17.14,-16.24,-1.32,8.07,-9.38,0.72,13,Simbad,764
09 25 44.561067,+34 16 35.63580,iPTF15eon,1,SNII,0.00544,SDSS,2015aq,09 25 44.5611,+34 16 35.6358,09 25 47.9850,+34 53 53.58,42.499,0.15,4.927,0.017,0.01,0.09,-15.18,-17.16,-17.76,-1.28,8.89,-10.17,6.89,13,Simbad,765
08 01 31.994133,+64 27 23.37190,iPTF15eot,1,SNII,0.0387,GAL.LINES,2019bll,08 01 31.9941,+64 27 23.3719,08 01 32.1734,+64 56 00.79,5.759,0.312,4.562,0.247,0.05,0.27,-17.31,-20.0,-21.52,0.36,10.36,-10.0,8.36,12,Simbad,766
